areaFIPS,areaname,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
26,Michigan,Citizenship,Non-US citizen,0.008229299,0.0587098,0.000669083,0.009412494,0.00711965,0.00834337,0.007575051
27,Minnesota,Citizenship,US citizen,0.987870097,0.945368052,0.99943608,0.977265954,0.993294358,0.992707133,0.96931082
27,Minnesota,Citizenship,Non-US citizen,0.012129908,0.054631945,0.000563893,0.022734031,0.006705666,0.007292896,0.030689165
28,Mississippi,Citizenship,US citizen,0.997718632,0.957354903,1,0.997771382,0.997913599,0.998113453,0.99693656
28,Mississippi,Citizenship,Non-US citizen,0.002281389,0.042645127,0,0.002228629,0.002086394,0.001886536,0.003063434
29,Missouri,Citizenship,US citizen,0.997260094,0.974881172,0.99928993,0.997362256,0.997124493,0.996904254,0.998143494
29,Missouri,Citizenship,Non-US citizen,0.0027399,0.025118805,0.000710041,0.002637758,0.002875489,0.00309576,0.001856507
30,Montana,Citizenship,US citizen,0.998714209,0,0.999083936,0.998204052,0.999191046,0.99821949,1
30,Montana,Citizenship,Non-US citizen,0.001285804,0,0.000916065,0.001795937,0.000808974,0.001780505,0
31,Nebraska,Citizenship,US citizen,0.993842721,0.97583133,0.998012006,0.986644268,0.999543309,0.99517262,0.98943007
31,Nebraska,Citizenship,Non-US citizen,0.006157291,0.024168681,0.001988011,0.013355749,0.000456671,0.00482738,0.010569903
32,Nevada,Citizenship,US citizen,0.991213799,0.979316413,0.99778235,0.987014294,0.995222569,0.995417237,0.984455287
32,Nevada,Citizenship,Non-US citizen,0.008786215,0.020683611,0.002217663,0.012985733,0.004777416,0.004582761,0.015544698
33,New Hampshire,Citizenship,US citizen,0.988610923,0.902908087,0.999752402,0.982186139,0.991118789,0.988547325,0.988422394
33,New Hampshire,Citizenship,Non-US citizen,0.011389092,0.097091936,0.000247624,0.017813841,0.008881199,0.011452703,0.011577626
34,New Jersey,Citizenship,US citizen,0.985290051,0.96496594,0.998736739,0.982888401,0.986813724,0.986525536,0.981804848
34,New Jersey,Citizenship,Non-US citizen,0.014709978,0.035034083,0.001263248,0.01711162,0.013186269,0.013474465,0.018195126
35,New Mexico,Citizenship,US citizen,0.992532074,0.969331741,0.99913007,0.988146305,0.998751462,0.994728148,0.989230514
35,New Mexico,Citizenship,Non-US citizen,0.007467908,0.030668259,0.000869951,0.011853691,0.001248551,0.005271881,0.010769504
36,New York,Citizenship,US citizen,0.986981392,0.967892647,0.998986959,0.982795,0.990202963,0.989715517,0.980650425
36,New York,Citizenship,Non-US citizen,0.013018611,0.032107342,0.001013033,0.017204978,0.009797027,0.010284471,0.019349586
37,North Carolina,Citizenship,US citizen,0.990924001,0.959496677,0.999148786,0.989963651,0.991934061,0.993632972,0.984522402
37,North Carolina,Citizenship,Non-US citizen,0.009075991,0.040503293,0.000851217,0.010036334,0.008065917,0.006367014,0.015477612
38,North Dakota,Citizenship,US citizen,0.998446167,0,1,1,0.997709453,0.998115361,1
38,North Dakota,Citizenship,Non-US citizen,0.001553829,0,0,0,0.002290576,0.001884615,0
39,Ohio,Citizenship,US citizen,0.995892227,0.958047926,0.999613047,0.996589839,0.995472848,0.994991958,0.997990072
39,Ohio,Citizenship,Non-US citizen,0.004107784,0.041952055,0.000386959,0.003410142,0.004527175,0.00500806,0.00200994
40,Oklahoma,Citizenship,US citizen,0.997231126,0.980815947,1,0.997229099,0.997592092,0.997569442,0.997121751
40,Oklahoma,Citizenship,Non-US citizen,0.002768884,0.019184081,0,0.002770908,0.002407919,0.002430579,0.002878274
41,Oregon,Citizenship,US citizen,0.991144955,0.969191372,0.998150826,0.98738724,0.994123161,0.992602706,0.986921668
41,Oregon,Citizenship,Non-US citizen,0.008855066,0.030808644,0.001849156,0.01261276,0.005876835,0.007397274,0.013078329
42,Pennsylvania,Citizenship,US citizen,0.993039429,0.950278699,0.999658406,0.991013706,0.994462788,0.992854059,0.993420422
42,Pennsylvania,Citizenship,Non-US citizen,0.006960551,0.049721282,0.000341595,0.008986308,0.005537186,0.007145941,0.006579569
44,Rhode Island,Citizenship,US citizen,0.982621372,0.93954879,0.998728395,0.974123299,0.989269137,0.984160483,0.980803907
44,Rhode Island,Citizenship,Non-US citizen,0.017378643,0.060451202,0.001271617,0.02587672,0.010730843,0.015839493,0.019196097
45,South Carolina,Citizenship,US citizen,0.994869053,0.956435859,0.999352574,0.992379904,0.997472405,0.996068001,0.992243767
45,South Carolina,Citizenship,Non-US citizen,0.005130964,0.043564133,0.000647437,0.007620071,0.002527602,0.003932009,0.007756243
46,South Dakota,Citizenship,US citizen,0.991536498,0,0.99864912,0.984530687,0.996669292,0.997116208,0.974434376
46,South Dakota,Citizenship,Non-US citizen,0.008463487,0,0.001350853,0.015469324,0.003330721,0.002883762,0.025565611
47,Tennessee,Citizenship,US citizen,0.994835794,0.967891991,0.999075055,0.994799376,0.995237827,0.994599879,0.995592177
47,Tennessee,Citizenship,Non-US citizen,0.005164214,0.032108001,0.000924969,0.005200637,0.0047622,0.005400111,0.004407843
48,Texas,Citizenship,US citizen,0.989913821,0.970267057,0.999294996,0.988816738,0.991058469,0.99019444,0.989481568
48,Texas,Citizenship,Non-US citizen,0.010086202,0.02973293,0.000705015,0.011183273,0.008941501,0.00980556,0.010518409
49,Utah,Citizenship,US citizen,0.995811939,0.97624886,0.999561846,0.994952738,0.996338069,0.996588409,0.992579818
49,Utah,Citizenship,Non-US citizen,0.004188044,0.023751162,0.000438142,0.005047267,0.003661927,0.003411613,0.007420207
50,Vermont,Citizenship,US citizen,0.994796276,0,0.998575687,0.987727761,0.998083472,0.993591309,0.998034477
50,Vermont,Citizenship,Non-US citizen,0.005203714,0,0.001424317,0.01227222,0.001916543,0.006408697,0.001965495
51,Virginia,Citizenship,US citizen,0.991221786,0.965241611,0.999452293,0.988261402,0.993069768,0.991301298,0.990799248
51,Virginia,Citizenship,Non-US citizen,0.008778203,0.034758363,0.000547703,0.01173862,0.006930213,0.008698711,0.009200723
53,Washington,Citizenship,US citizen,0.989205122,0.965317607,0.998522699,0.98544383,0.991528928,0.990886271,0.983933687
53,Washington,Citizenship,Non-US citizen,0.010794897,0.034682404,0.00147733,0.014556169,0.008471063,0.009113736,0.016066302
54,West Virginia,Citizenship,US citizen,0.998007357,0,1,0.997071505,0.998888731,0.997561395,0.998897851
54,West Virginia,Citizenship,Non-US citizen,0.001992622,0,0,0.002928504,0.001111293,0.002438604,0.001102149
55,Wisconsin,Citizenship,US citizen,0.995284438,0.964945018,0.999486327,0.995263517,0.9955163,0.996527731,0.991088331
55,Wisconsin,Citizenship,Non-US citizen,0.004715584,0.035054959,0.000513661,0.004736476,0.004483714,0.003472245,0.008911646
56,Wyoming,Citizenship,US citizen,0.998103082,0,0.998611391,0.996199787,1,0.998319149,1
56,Wyoming,Citizenship,Non-US citizen,0.001896933,0,0.001388613,0.003800217,0,0.001680874,0
100,United States,Citizenship,US citizen,0.991136134,0.96757412,0.999183297,0.989944637,0.99234885,0.991941571,0.98950839
100,United States,Citizenship,Non-US citizen,0.00886388,0.03242588,0.00081672,0.010055355,0.00765114,0.008058426,0.010491603
