areaFIPS,areaname,areaname2,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
10100,Aberdeen, SD,Parental education,At least one parent has a bachelor's degree or more,0.392912477,0,0.377944767,0.189619735,0.5159356,0.525239468,0
10100,Aberdeen, SD,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.355151027,0,0.364337921,0.367934212,0.34869045,0.474760532,0
10100,Aberdeen, SD,Parental education,All parents have a high school education or less,0.251936495,0,0.257717311,0.442446053,0.135373935,0,0
10100,Aberdeen, SD,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10180,Abilene, TX,Parental education,At least one parent has a bachelor's degree or more,0.261464596,0,0.271111727,0.091011755,0.438340694,0.368739635,0
10180,Abilene, TX,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.447611928,0,0.455413997,0.486195393,0.404944152,0.631260365,0
10180,Abilene, TX,Parental education,All parents have a high school education or less,0.290923506,0,0.273474276,0.422792822,0.15671517,0,1
10180,Abilene, TX,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10220,Ada, OK,Parental education,At least one parent has a bachelor's degree or more,0.240312114,0,0.236810327,0.08738932,0.464448631,0.380480707,0
10220,Ada, OK,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.391289219,0,0.402289152,0.371673763,0.389112592,0.619519293,0
10220,Ada, OK,Parental education,All parents have a high school education or less,0.368398637,0,0.360900491,0.540936947,0.146438763,0,1
10220,Ada, OK,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10300,Adrian, MI,Parental education,At least one parent has a bachelor's degree or more,0.245447025,0,0.242476359,0.061352253,0.440254241,0.369240344,0
10300,Adrian, MI,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.419288054,0,0.420249328,0.441151917,0.410593241,0.630759656,0
10300,Adrian, MI,Parental education,All parents have a high school education or less,0.335264891,0,0.337274283,0.49749583,0.149152547,0,1
10300,Adrian, MI,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10420,Akron, OH,Parental education,At least one parent has a bachelor's degree or more,0.423893362,0,0.410770088,0.176027983,0.619759262,0.586164832,0
10420,Akron, OH,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.299270719,0,0.316185921,0.375900775,0.240431666,0.413835168,0
10420,Akron, OH,Parental education,All parents have a high school education or less,0.276835889,0,0.27304402,0.448071212,0.139809042,0,1
10420,Akron, OH,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10460,Alamogordo, NM,Parental education,At least one parent has a bachelor's degree or more,0.177721947,0,0.164054111,0.07032115,0.345906556,0.284526676,0
10460,Alamogordo, NM,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.446901172,0,0.470474586,0.401716493,0.521645963,0.715473324,0
10460,Alamogordo, NM,Parental education,All parents have a high school education or less,0.37537688,0,0.365471333,0.527962327,0.132447496,0,0
10460,Alamogordo, NM,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10500,Albany, GA,Parental education,At least one parent has a bachelor's degree or more,0.188914612,0,0.196817577,0.064034753,0.438094795,0.264096856,0
10500,Albany, GA,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.526408598,0,0.548976898,0.602356978,0.375718236,0.735903144,0
10500,Albany, GA,Parental education,All parents have a high school education or less,0.28467676,0,0.254205525,0.33360827,0.186186969,0,1
10500,Albany, GA,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10540,Albany, OR,Parental education,At least one parent has a bachelor's degree or more,0.310088336,0,0.316090852,0.126312435,0.485442847,0.402291924,0
10540,Albany, OR,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.46071595,0,0.501622468,0.543429852,0.379405469,0.597708076,0
10540,Albany, OR,Parental education,All parents have a high school education or less,0.229195729,0,0.182286695,0.330257714,0.135151699,0,0
10540,Albany, OR,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10580,Albany-Schenectady-Troy, NY,Parental education,At least one parent has a bachelor's degree or more,0.518178523,0.629402161,0.507028759,0.164955825,0.670803547,0.664890826,0
10580,Albany-Schenectady-Troy, NY,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.261165261,0.185250163,0.272104681,0.368276983,0.215275347,0.335109174,0
10580,Albany-Schenectady-Troy, NY,Parental education,All parents have a high school education or less,0.220656231,0.185347676,0.220866576,0.466767162,0.113921128,0,1
10580,Albany-Schenectady-Troy, NY,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10660,Albert Lea, MN,Parental education,At least one parent has a bachelor's degree or more,0.314204663,0,0.345804393,0,0.421014756,0.439292252,0
10660,Albert Lea, MN,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.401047379,0,0.421966851,0,0.418495864,0.560707748,0
10660,Albert Lea, MN,Parental education,All parents have a high school education or less,0.284747988,0,0.232228756,0,0.16048938,0,0
10660,Albert Lea, MN,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10700,Albertville, AL,Parental education,At least one parent has a bachelor's degree or more,0.361272305,0,0.425910711,0.083791792,0.674090922,0.572157919,0
10700,Albertville, AL,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.270148307,0,0.292796493,0.306813359,0.200909078,0.427842081,0
10700,Albertville, AL,Parental education,All parents have a high school education or less,0.368579417,0,0.281292796,0.609394848,0.125,0,1
10700,Albertville, AL,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10740,Albuquerque, NM,Parental education,At least one parent has a bachelor's degree or more,0.341182292,0.294657737,0.355147183,0.115113042,0.581110001,0.485037178,0
10740,Albuquerque, NM,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.362232447,0.24426958,0.395553291,0.456422605,0.261995733,0.514962822,0
10740,Albuquerque, NM,Parental education,All parents have a high school education or less,0.296585262,0.461072683,0.249299526,0.428464383,0.156894252,0,1
10740,Albuquerque, NM,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10780,Alexandria, LA,Parental education,At least one parent has a bachelor's degree or more,0.24088645,0,0.23488234,0.064728774,0.457997859,0.373058528,0
10780,Alexandria, LA,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.404820442,0,0.412338868,0.449253045,0.354256868,0.626941472,0
10780,Alexandria, LA,Parental education,All parents have a high school education or less,0.354293108,0,0.352778792,0.486018151,0.187745258,0,1
10780,Alexandria, LA,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10820,Alexandria, MN,Parental education,At least one parent has a bachelor's degree or more,0.298687994,0,0.315983504,0.092161521,0.455463409,0.36334163,0
10820,Alexandria, MN,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.523370206,0,0.513988286,0.594299272,0.469527602,0.63665837,0
10820,Alexandria, MN,Parental education,All parents have a high school education or less,0.177941784,0,0.170028195,0.313539207,0.075009018,0,0
10820,Alexandria, MN,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental education,At least one parent has a bachelor's degree or more,0.422631979,0.534395576,0.402428687,0.119320005,0.603477955,0.567099333,0
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.322620094,0.240515888,0.339310944,0.421041399,0.265176117,0.432900667,0
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental education,All parents have a high school education or less,0.254747897,0.225088522,0.258260369,0.459638625,0.131345943,0,1
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10940,Alma, MI,Parental education,At least one parent has a bachelor's degree or more,0.262138367,0,0.247100085,0.145773783,0.477351904,0.387360603,0
10940,Alma, MI,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.414591193,0,0.412193149,0.459371194,0.364459932,0.612639397,0
10940,Alma, MI,Parental education,All parents have a high school education or less,0.32327044,0,0.340706766,0.394855052,0.158188149,0,1
10940,Alma, MI,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
10980,Alpena, MI,Parental education,At least one parent has a bachelor's degree or more,0.219072163,0,0.216197893,0.117298581,0.34039548,0.299427569,0
10980,Alpena, MI,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.512564421,0,0.529989854,0.517772518,0.506355911,0.700572431,0
10980,Alpena, MI,Parental education,All parents have a high school education or less,0.268363386,0,0.253812253,0.364928901,0.153248593,0,0
10980,Alpena, MI,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
11020,Altoona, PA,Parental education,At least one parent has a bachelor's degree or more,0.300602764,0,0.301672637,0.104564317,0.475211173,0.523004055,0
11020,Altoona, PA,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.274159044,0,0.270011961,0.214522831,0.32794711,0.476995945,0
11020,Altoona, PA,Parental education,All parents have a high school education or less,0.425238192,0,0.428315401,0.680912852,0.196841717,0,1
11020,Altoona, PA,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
11100,Amarillo, TX,Parental education,At least one parent has a bachelor's degree or more,0.27904281,0.180867791,0.31295082,0.082199134,0.464347988,0.423918933,0
11100,Amarillo, TX,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.379202873,0.25213322,0.427449793,0.37194445,0.38332656,0.576081067,0
11100,Amarillo, TX,Parental education,All parents have a high school education or less,0.341754317,0.566998959,0.259599388,0.545856416,0.152325481,0,1
11100,Amarillo, TX,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
11140,Americus, GA,Parental education,At least one parent has a bachelor's degree or more,0.223516956,0,0.215548381,0.054452788,0.549070239,0.357728183,0
11140,Americus, GA,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.401306495,0,0.411708787,0.42408799,0.357438028,0.642271817,0
11140,Americus, GA,Parental education,All parents have a high school education or less,0.375176549,0,0.372742832,0.521459222,0.093491733,0,1
11140,Americus, GA,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
