areaFIPS,areaname,areaname2,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
10100,Aberdeen, SD,Parental English proficiency,All are English proficient,0.972889245,0,1,0.954265177,0.99179554,0.972042441,0
10100,Aberdeen, SD,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.006390393,0,0,0,0,0.002847552,0
10100,Aberdeen, SD,Parental English proficiency,All are limited English proficient,0.020720372,0,0,0,0,0.025110018,0
10100,Aberdeen, SD,Parental English proficiency,At least one parent is limited English proficient,0,0,0,0.045734823,0.00820446,0,0
10180,Abilene, TX,Parental English proficiency,All are English proficient,0.96856606,0,0.99466145,0.954024911,0.983188808,0.989180028,0.9183231
10180,Abilene, TX,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.020367278,0,0,0.029459005,0.011231096,0.007274386,0.052278973
10180,Abilene, TX,Parental English proficiency,All are limited English proficient,0.011066644,0,0,0.016516067,0.005580068,0.003545582,0.029397916
10180,Abilene, TX,Parental English proficiency,At least one parent is limited English proficient,0,0,0.00533855,0,0,0,0
10220,Ada, OK,Parental English proficiency,All are English proficient,0.962875247,0,0.98785603,0.945842385,0.983798027,0.978425264,0.93621558
10220,Ada, OK,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.010203782,0,0.002507031,0.010665514,0,0.011176203,0.008536577
10220,Ada, OK,Parental English proficiency,All are limited English proficient,0.026920961,0,0.00963696,0.043492105,0,0.010398547,0.055247825
10220,Ada, OK,Parental English proficiency,At least one parent is limited English proficient,0,0,0,0,0.016201973,0,0
10300,Adrian, MI,Parental English proficiency,All are English proficient,0.982201993,0,0.997205496,0.967028379,0.997033894,0.984433353,0.977777779
10300,Adrian, MI,Parental English proficiency,One parent is English proficient and one is limited English proficient,0,0,0,0,0,0,0
10300,Adrian, MI,Parental English proficiency,All are limited English proficient,0,0,0,0,0,0,0
10300,Adrian, MI,Parental English proficiency,At least one parent is limited English proficient,0.017798007,0,0.002794504,0.032971621,0.002966106,0.015566647,0.022222221
10420,Akron, OH,Parental English proficiency,All are English proficient,0.954990923,0,0.995132446,0.915854156,0.985471129,0.973151803,0.907550335
10420,Akron, OH,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.021273632,0,0,0.038257737,0.008053134,0.018241378,0.029194631
10420,Akron, OH,Parental English proficiency,All are limited English proficient,0.023735426,0,0,0.045888089,0.006475716,0.008606847,0.063255034
10420,Akron, OH,Parental English proficiency,At least one parent is limited English proficient,0,0,0.004867554,0,0,0,0
10460,Alamogordo, NM,Parental English proficiency,All are English proficient,0.834338367,0,0.946102619,0.765503883,0.939134181,0.924644649,0
10460,Alamogordo, NM,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.103350081,0,0.053897358,0.131506085,0.060865838,0.06865111,0
10460,Alamogordo, NM,Parental English proficiency,All are limited English proficient,0.06231156,0,0,0.102990031,0,0.006704211,0
10460,Alamogordo, NM,Parental English proficiency,At least one parent is limited English proficient,0,0,0,0,0,0,0
10500,Albany, GA,Parental English proficiency,All are English proficient,0.95513624,0,0.999657333,0.944149554,0.976976812,0.993364155,0.859078825
10500,Albany, GA,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.014364209,0,0,0.012721267,0.017658286,0.002181584,0.044976171
10500,Albany, GA,Parental English proficiency,All are limited English proficient,0.030499535,0,0,0.043129187,0.005364895,0.004454255,0.095945008
10500,Albany, GA,Parental English proficiency,At least one parent is limited English proficient,0,0,0.000342667,0,0,0,0
10540,Albany, OR,Parental English proficiency,All are English proficient,0.911514044,0,1,0.879732728,0.940851986,0.969240069,0
10540,Albany, OR,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.0079033,0,0,0.008908689,0.007048726,0.010253317,0
10540,Albany, OR,Parental English proficiency,All are limited English proficient,0.080582678,0,0,0.111358576,0.052099295,0.020506633,0
10540,Albany, OR,Parental English proficiency,At least one parent is limited English proficient,0,0,0,0,0,0,0
10580,Albany-Schenectady-Troy, NY,Parental English proficiency,All are English proficient,0.932518244,0.579994738,0.986754775,0.889838696,0.951085508,0.942481458,0.897328675
10580,Albany-Schenectady-Troy, NY,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.035841059,0.210261375,0.009053678,0.053009376,0.028154746,0.038255587,0.027313096
