areaFIPS,areaname,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
31,Nebraska,Number of parents present,One parent,0.206119016,0.165198416,0.213650405,0.364049226,0.093517862,0.132109851,0.458350092
31,Nebraska,Number of parents present,Two parents,0.793880999,0.834801555,0.786349595,0.635950804,0.90648216,0.867890179,0.541649878
32,Nevada,Number of parents present,One parent,0.243196756,0.12029855,0.307560235,0.32136184,0.157802239,0.146476835,0.396166623
32,Nevada,Number of parents present,Two parents,0.756803274,0.879701436,0.692439735,0.67863816,0.842197776,0.853523135,0.603833377
33,New Hampshire,Number of parents present,One parent,0.175303414,0.128986865,0.181461036,0.346717775,0.101250097,0.100177854,0.484716147
33,New Hampshire,Number of parents present,Two parents,0.8246966,0.871013105,0.818538964,0.653282225,0.898749888,0.899822176,0.515283823
34,New Jersey,Number of parents present,One parent,0.222061485,0.149996683,0.27002874,0.418314606,0.114931569,0.141679719,0.465844154
34,New Jersey,Number of parents present,Two parents,0.777938545,0.850003302,0.72997129,0.581685424,0.885068417,0.858320296,0.534155846
35,New Mexico,Number of parents present,One parent,0.302469701,0.172834292,0.338403612,0.405131906,0.163291261,0.216172054,0.456877649
35,New Mexico,Number of parents present,Two parents,0.69753027,0.827165723,0.661596358,0.594868124,0.836708724,0.78382796,0.543122351
36,New York,Number of parents present,One parent,0.258847952,0.191440821,0.29876107,0.413671255,0.146778986,0.174861714,0.4700405
36,New York,Number of parents present,Two parents,0.741152048,0.808559179,0.70123893,0.586328745,0.853220999,0.825138271,0.5299595
37,North Carolina,Number of parents present,One parent,0.266626835,0.139019668,0.300437689,0.396688402,0.127227649,0.189549193,0.457601637
37,North Carolina,Number of parents present,Two parents,0.733373165,0.860980332,0.699562311,0.603311598,0.872772336,0.810450792,0.542398334
38,North Dakota,Number of parents present,One parent,0.170077607,0,0.165090188,0.398915648,0.064124703,0.107646272,0.478506118
38,North Dakota,Number of parents present,Two parents,0.829922378,0,0.834909797,0.601084352,0.935875297,0.892353714,0.521493852
39,Ohio,Number of parents present,One parent,0.27011013,0.120441593,0.285309672,0.444922954,0.115008064,0.164556876,0.529687881
39,Ohio,Number of parents present,Two parents,0.72988987,0.879558384,0.714690328,0.555077076,0.884991944,0.835443139,0.470312089
40,Oklahoma,Number of parents present,One parent,0.240266427,0.101782143,0.262690872,0.355396777,0.122600853,0.152781248,0.41343832
40,Oklahoma,Number of parents present,Two parents,0.759733558,0.898217857,0.737309098,0.644603252,0.877399147,0.847218752,0.58656168
41,Oregon,Number of parents present,One parent,0.181615919,0.102775566,0.205383971,0.275280029,0.096397325,0.124776423,0.341545492
41,Oregon,Number of parents present,Two parents,0.818384111,0.897224426,0.794616044,0.724719942,0.90360266,0.875223577,0.658454537
42,Pennsylvania,Number of parents present,One parent,0.251732826,0.140608892,0.269035667,0.442433983,0.125285119,0.148066193,0.499339342
42,Pennsylvania,Number of parents present,Two parents,0.748267174,0.859391093,0.730964363,0.557565987,0.874714911,0.851933837,0.500660658
44,Rhode Island,Number of parents present,One parent,0.292112231,0.173175946,0.332648516,0.499602616,0.151984617,0.201709405,0.513026297
44,Rhode Island,Number of parents present,Two parents,0.707887769,0.826824069,0.667351484,0.500397384,0.848015368,0.79829061,0.486973733
45,South Carolina,Number of parents present,One parent,0.324704796,0.106228769,0.351402968,0.488948226,0.138639063,0.21116896,0.572513521
45,South Carolina,Number of parents present,Two parents,0.675295234,0.893771231,0.648597002,0.511051774,0.861360908,0.788831055,0.427486449
46,South Dakota,Number of parents present,One parent,0.230705529,0,0.236982554,0.437517166,0.07780467,0.128819808,0.551059067
46,South Dakota,Number of parents present,Two parents,0.769294441,0,0.763017416,0.562482834,0.922195315,0.871180177,0.448940963
47,Tennessee,Number of parents present,One parent,0.281889588,0.127525538,0.305830181,0.408846855,0.140215442,0.181788817,0.480310529
47,Tennessee,Number of parents present,Two parents,0.718110442,0.872474432,0.694169819,0.591153145,0.859784544,0.818211198,0.519689441
48,Texas,Number of parents present,One parent,0.272858441,0.157668009,0.328415543,0.399276763,0.145612031,0.180874541,0.434753686
48,Texas,Number of parents present,Two parents,0.727141559,0.842332006,0.671584427,0.600723267,0.854387999,0.819125473,0.565246344
49,Utah,Number of parents present,One parent,0.124591842,0.121967711,0.125090316,0.181560472,0.079911552,0.069759272,0.353211969
49,Utah,Number of parents present,Two parents,0.875408173,0.878032267,0.874909699,0.818439543,0.92008847,0.93024075,0.646788061
50,Vermont,Number of parents present,One parent,0.159871951,0,0.168496013,0.333458573,0.077693336,0.086539254,0.358165562
50,Vermont,Number of parents present,Two parents,0.840128064,0,0.831503987,0.666541398,0.922306657,0.913460732,0.641834438
51,Virginia,Number of parents present,One parent,0.229950875,0.137209609,0.258845299,0.430418879,0.126706526,0.153695062,0.49107936
51,Virginia,Number of parents present,Two parents,0.770049095,0.862790406,0.741154671,0.569581151,0.873293459,0.846304953,0.50892061
53,Washington,Number of parents present,One parent,0.175779238,0.114449233,0.199644774,0.286926985,0.098311171,0.114674859,0.360085219
53,Washington,Number of parents present,Two parents,0.824220777,0.885550737,0.800355256,0.713073015,0.901688814,0.885325134,0.639914811
54,West Virginia,Number of parents present,One parent,0.260329723,0,0.263022482,0.384236276,0.13553752,0.164819673,0.459810615
54,West Virginia,Number of parents present,Two parents,0.739670277,0,0.736977518,0.615763724,0.864462495,0.835180342,0.540189385
55,Wisconsin,Number of parents present,One parent,0.208394974,0.129718393,0.219083786,0.389710039,0.093343094,0.1311744,0.469170094
55,Wisconsin,Number of parents present,Two parents,0.791605055,0.870281577,0.780916214,0.610289931,0.906656921,0.868825614,0.530829906
56,Wyoming,Number of parents present,One parent,0.134772763,0,0.14087829,0.234033674,0.077454954,0.092620894,0.265553862
56,Wyoming,Number of parents present,Two parents,0.865227222,0,0.85912168,0.765966356,0.922545075,0.907379091,0.734446108
100,United States,Number of parents present,One parent,0.250733674,0.146792322,0.285432667,0.399032712,0.128938511,0.163845137,0.462748349
100,United States,Number of parents present,Two parents,0.749266326,0.853207648,0.714567304,0.600967288,0.871061504,0.836154878,0.537251651
