areaFIPS,areaname,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
1,Alabama,Number of parents present,One parent,0.34013176,0.160837248,0.357874423,0.504207075,0.162525371,0.228395,0.572319448
1,Alabama,Number of parents present,Two parents,0.65986824,0.839162767,0.642125547,0.495792925,0.837474644,0.771605015,0.427680552
2,Alaska,Number of parents present,One parent,0.197151154,0.10902483,0.207540438,0.369919091,0.110590488,0.110195503,0.471963853
2,Alaska,Number of parents present,Two parents,0.802848816,0.890975177,0.792459548,0.630080879,0.889409542,0.889804482,0.528036118
4,Arizona,Number of parents present,One parent,0.252251685,0.165388778,0.284839243,0.357907742,0.136105508,0.158370391,0.459274352
4,Arizona,Number of parents present,Two parents,0.747748315,0.834611237,0.715160728,0.642092288,0.863894463,0.841629624,0.540725648
5,Arkansas,Number of parents present,One parent,0.285728931,0.113896288,0.308938354,0.394352496,0.138665631,0.203900933,0.443888575
5,Arkansas,Number of parents present,Two parents,0.714271069,0.88610369,0.691061616,0.605647504,0.861334383,0.796099067,0.556111455
6,California,Number of parents present,One parent,0.228936002,0.142037079,0.298786014,0.334410131,0.140671179,0.155661851,0.385954976
6,California,Number of parents present,Two parents,0.771063983,0.857962906,0.701214015,0.665589869,0.859328806,0.844338179,0.614045024
8,Colorado,Number of parents present,One parent,0.185722902,0.121408343,0.203907132,0.322414994,0.103673354,0.11582277,0.421730161
8,Colorado,Number of parents present,Two parents,0.814277112,0.878591657,0.796092868,0.677585006,0.896326661,0.884177208,0.578269839
9,Connecticut,Number of parents present,One parent,0.224889711,0.110606059,0.265549183,0.485143393,0.104004525,0.140134498,0.525111794
9,Connecticut,Number of parents present,Two parents,0.775110304,0.889393926,0.734450817,0.514856637,0.895995498,0.859865487,0.474888206
10,Delaware,Number of parents present,One parent,0.283313543,0.158269197,0.318761826,0.456093818,0.1684995,0.176977396,0.510511994
10,Delaware,Number of parents present,Two parents,0.716686428,0.841730773,0.681238174,0.543906212,0.831500471,0.823022604,0.489487976
11,District of Columbia,Number of parents present,One parent,0.362911522,0.210442528,0.41597873,0.7209602,0.166529,0.214900032,0.775408566
11,District of Columbia,Number of parents present,Two parents,0.637088478,0.789557457,0.58402127,0.2790398,0.833471,0.785099983,0.224591434
12,Florida,Number of parents present,One parent,0.293934524,0.177606419,0.35021317,0.421241373,0.157886118,0.201446071,0.497124314
12,Florida,Number of parents present,Two parents,0.706065476,0.822393596,0.64978683,0.578758657,0.842113853,0.798553944,0.502875686
13,Georgia,Number of parents present,One parent,0.312392712,0.154418647,0.355949372,0.462045729,0.151664659,0.211131364,0.524247468
13,Georgia,Number of parents present,Two parents,0.687607288,0.845581353,0.644050658,0.537954271,0.848335326,0.788868606,0.475752532
15,Hawaii,Number of parents present,One parent,0.219979957,0.125716716,0.255250961,0.299468368,0.181606397,0.14739728,0.478131026
15,Hawaii,Number of parents present,Two parents,0.780020058,0.874283314,0.744749069,0.700531662,0.818393588,0.85260272,0.521868944
16,Idaho,Number of parents present,One parent,0.141262427,0.114388727,0.145743012,0.200271025,0.078662552,0.081251428,0.324250847
16,Idaho,Number of parents present,Two parents,0.858737588,0.885611296,0.854256988,0.79972899,0.921337426,0.918748558,0.675749123
17,Illinois,Number of parents present,One parent,0.24932766,0.110276498,0.297426611,0.447721213,0.115141496,0.164639533,0.500119328
17,Illinois,Number of parents present,Two parents,0.75067234,0.88972348,0.702573359,0.552278757,0.884858489,0.835360467,0.499880642
18,Indiana,Number of parents present,One parent,0.254227906,0.104192808,0.273453474,0.399148405,0.117406078,0.161393493,0.466809183
18,Indiana,Number of parents present,Two parents,0.745772064,0.895807207,0.726546526,0.600851595,0.88259393,0.838606536,0.533190787
19,Iowa,Number of parents present,One parent,0.183269143,0.133919254,0.189908803,0.342265308,0.090128519,0.131448045,0.384881198
19,Iowa,Number of parents present,Two parents,0.816730857,0.866080761,0.810091197,0.657734692,0.909871459,0.86855197,0.615118802
20,Kansas,Number of parents present,One parent,0.19623369,0.142618656,0.205431119,0.319387585,0.105567604,0.130098015,0.41603443
20,Kansas,Number of parents present,Two parents,0.80376631,0.857381344,0.794568896,0.680612445,0.894432366,0.869902015,0.5839656
21,Kentucky,Number of parents present,One parent,0.263067663,0.121926673,0.277564466,0.396588832,0.124805324,0.176493689,0.464017272
21,Kentucky,Number of parents present,Two parents,0.736932337,0.878073335,0.722435534,0.603411138,0.875194669,0.823506296,0.535982728
22,Louisiana,Number of parents present,One parent,0.370041847,0.142907113,0.389958173,0.565329313,0.160470769,0.238145798,0.591506541
22,Louisiana,Number of parents present,Two parents,0.629958153,0.857092917,0.610041857,0.434670717,0.839529216,0.761854231,0.408493459
23,Maine,Number of parents present,One parent,0.153996259,0,0.157532826,0.274089932,0.073100768,0.093663149,0.39904049
23,Maine,Number of parents present,Two parents,0.846003711,0,0.842467189,0.725910068,0.926899254,0.906336844,0.60095948
24,Maryland,Number of parents present,One parent,0.255090535,0.140814006,0.304674596,0.465622663,0.159697562,0.172741339,0.510153949
24,Maryland,Number of parents present,Two parents,0.744909465,0.859185994,0.695325375,0.534377337,0.840302467,0.827258646,0.489846051
25,Massachusetts,Number of parents present,One parent,0.222713396,0.157032251,0.25246492,0.500835836,0.109899372,0.137519717,0.542345166
25,Massachusetts,Number of parents present,Two parents,0.777286589,0.842967749,0.74753505,0.499164194,0.890100598,0.862480283,0.457654834
26,Michigan,Number of parents present,One parent,0.256958961,0.081279039,0.282806724,0.409561217,0.117090046,0.173883796,0.506220877
26,Michigan,Number of parents present,Two parents,0.743041039,0.918720961,0.717193305,0.590438783,0.882909954,0.826116204,0.493779123
27,Minnesota,Number of parents present,One parent,0.168456301,0.160262078,0.170540512,0.350743324,0.076456428,0.110150836,0.430728823
27,Minnesota,Number of parents present,Two parents,0.831543684,0.839737952,0.829459488,0.649256706,0.923543572,0.889849186,0.569271147
28,Mississippi,Number of parents present,One parent,0.399664879,0.121486515,0.414274812,0.556112826,0.186737433,0.296461731,0.60934335
28,Mississippi,Number of parents present,Two parents,0.600335121,0.878513515,0.585725188,0.443887174,0.813262582,0.703538299,0.39065665
29,Missouri,Number of parents present,One parent,0.2591362,0.138192385,0.269988745,0.416333526,0.123392917,0.171450302,0.494044125
29,Missouri,Number of parents present,Two parents,0.7408638,0.861807585,0.730011225,0.583666503,0.87660706,0.828549683,0.505955875
30,Montana,Number of parents present,One parent,0.171466559,0,0.175143376,0.271989733,0.076445825,0.093330719,0.373503745
30,Montana,Number of parents present,Two parents,0.828533411,0,0.824856639,0.728010297,0.923554182,0.906669259,0.626496255
