areaFIPS,areaname,areaname2,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
10100,Aberdeen, SD,Parental employment,All parents are working full time,0.418667704,0,0.429731935,0.12949641,0.599242687,0.429458976,0
10100,Aberdeen, SD,Parental employment,All parents are working; at least one is not working full time,0.442099154,0,0.439277023,0.650051415,0.318396956,0.462593824,0
10100,Aberdeen, SD,Parental employment,At least one parent is not working,0.139233157,0,0.130991071,0.220452204,0.082360364,0.107947193,0
10100,Aberdeen, SD,Parental employment,All parents are working,0,0,0,0,0,0,0
10180,Abilene, TX,Parental employment,All parents are working full time,0.336628973,0,0.340039313,0.24063693,0.43094179,0.355248362,0.291247398
10180,Abilene, TX,Parental employment,All parents are working; at least one is not working full time,0.341086805,0,0.340457976,0.378614873,0.304079294,0.322753429,0.385771275
10180,Abilene, TX,Parental employment,At least one parent is not working,0.322284192,0,0.319502711,0.380748212,0.264978886,0.321998179,0.322981328
10180,Abilene, TX,Parental employment,All parents are working,0,0,0,0,0,0,0
10220,Ada, OK,Parental employment,All parents are working full time,0.292784333,0,0.290337771,0.207473919,0.427863896,0.32009697,0.245958164
10220,Ada, OK,Parental employment,All parents are working; at least one is not working full time,0.319028795,0,0.321621835,0.334139436,0.31856674,0.323752522,0.310930222
10220,Ada, OK,Parental employment,At least one parent is not working,0.388186842,0,0.388040423,0.45838666,0.253569365,0.356150508,0.443111598
10220,Ada, OK,Parental employment,All parents are working,0,0,0,0,0,0,0
10300,Adrian, MI,Parental employment,All parents are working full time,0.257036418,0,0.260103166,0.094741233,0.403813571,0.283935249,0.203703701
10300,Adrian, MI,Parental employment,All parents are working; at least one is not working full time,0.396937102,0,0.409716249,0.425292164,0.380932212,0.422789544,0.345679015
10300,Adrian, MI,Parental employment,At least one parent is not working,0.34602648,0,0.330180556,0.479966611,0.215254232,0.293275207,0.450617284
10300,Adrian, MI,Parental employment,All parents are working,0,0,0,0,0,0,0
10420,Akron, OH,Parental employment,All parents are working full time,0.290445447,0,0.302607983,0.137876213,0.411124945,0.343952715,0.150671139
10420,Akron, OH,Parental employment,All parents are working; at least one is not working full time,0.316224635,0,0.327611834,0.328105122,0.306019098,0.311644942,0.328187913
10420,Akron, OH,Parental employment,At least one parent is not working,0.393329918,0,0.369780183,0.534018636,0.282855958,0.344402343,0.521140933
10420,Akron, OH,Parental employment,All parents are working,0,0,0,0,0,0,0
10460,Alamogordo, NM,Parental employment,All parents are working full time,0.194112703,0,0.221070811,0.111295685,0.322331756,0.267363906,0
10460,Alamogordo, NM,Parental employment,All parents are working; at least one is not working full time,0.384524822,0,0.415371329,0.429401994,0.315044999,0.357468486,0
10460,Alamogordo, NM,Parental employment,At least one parent is not working,0.421362489,0,0.363557845,0.459302336,0.362623245,0.375167608,0
10460,Alamogordo, NM,Parental employment,All parents are working,0,0,0,0,0,0,0
10500,Albany, GA,Parental employment,All parents are working full time,0.342709482,0,0.36638701,0.196141124,0.635327101,0.391478837,0.220163956
10500,Albany, GA,Parental employment,All parents are working; at least one is not working full time,0.339880407,0,0.339141339,0.3919622,0.235184491,0.354806751,0.302374184
10500,Albany, GA,Parental employment,At least one parent is not working,0.317410111,0,0.294471681,0.411896676,0.129488394,0.253714412,0.477461845
10500,Albany, GA,Parental employment,All parents are working,0,0,0,0,0,0,0
10540,Albany, OR,Parental employment,All parents are working full time,0.130893305,0,0.113870844,0.036271036,0.224063843,0.150583029,0
10540,Albany, OR,Parental employment,All parents are working; at least one is not working full time,0.450682372,0,0.489109665,0.425389767,0.473296493,0.497386396,0
10540,Albany, OR,Parental employment,At least one parent is not working,0.418424308,0,0.397019476,0.538339198,0.302639663,0.352030545,0
10540,Albany, OR,Parental employment,All parents are working,0,0,0,0,0,0,0
10580,Albany-Schenectady-Troy, NY,Parental employment,All parents are working full time,0.333996207,0.257631063,0.348038256,0.140064463,0.416974723,0.356841177,0.25330925
10580,Albany-Schenectady-Troy, NY,Parental employment,All parents are working; at least one is not working full time,0.4002074,0.324755847,0.412797928,0.435117036,0.385736644,0.394926012,0.418860912
10580,Albany-Schenectady-Troy, NY,Parental employment,At least one parent is not working,0.265796393,0.417613089,0.239163816,0.424818516,0.197288632,0.248232812,0.327829838
10580,Albany-Schenectady-Troy, NY,Parental employment,All parents are working,0,0,0,0,0,0,0
10660,Albert Lea, MN,Parental employment,All parents are working full time,0.312240899,0,0.352752537,0,0.440086365,0.340451479,0
10660,Albert Lea, MN,Parental employment,All parents are working; at least one is not working full time,0.385118932,0,0.426777124,0,0.342569262,0.439292252,0
10660,Albert Lea, MN,Parental employment,At least one parent is not working,0.3026402,0,0.220470339,0,0.217344373,0.220256254,0
10660,Albert Lea, MN,Parental employment,All parents are working,0,0,0,0,0,0,0
10700,Albertville, AL,Parental employment,All parents are working full time,0.330324531,0,0.340180784,0.194244608,0.49000001,0.386657596,0.233819246
10700,Albertville, AL,Parental employment,All parents are working; at least one is not working full time,0.333978087,0,0.351958364,0.25179857,0.395000011,0.373723626,0.265889198
