areaFIPS,areaname,areaname2,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless,atleast1immigparent_pct,allnativebornparents_pct,lowincome_pct,notlowincome_pct,parpostsec_pct,pareducHSless_pct
10100,Aberdeen, SD,2000,0,2000,1000,1000,1000,0,0,0.956673801,0.380449653,0.619550347,0.748063505,0
10180,Abilene, TX,7000,0,6000,3000,3000,5000,2000,0,0.953629911,0.506498218,0.493501753,0.709076524,0.290923506
10220,Ada, OK,1000,0,1000,1000,1000,1000,1000,0,0.946912169,0.577393413,0.422606558,0.631601334,0.368398637
10300,Adrian, MI,3000,0,3000,2000,2000,2000,1000,0,0.970379651,0.503784657,0.496215314,0.664735079,0.335264891
10420,Akron, OH,22000,0,20000,9000,12000,16000,6000,0,0.919918954,0.439271927,0.560728073,0.723164082,0.276835889
10460,Alamogordo, NM,3000,0,2000,2000,1000,2000,0,0,0.790930688,0.607569396,0.392430604,0.62462312,0
10500,Albany, GA,6000,0,6000,4000,2000,4000,2000,0,0.9364959,0.665925622,0.334074408,0.71532321,0.28467676
10540,Albany, OR,4000,0,3000,2000,2000,3000,0,0,0.839583337,0.490633786,0.509366214,0.770804286,0
10580,Albany-Schenectady-Troy, NY,27000,4000,23000,8000,19000,21000,6000,0.136118114,0.863881886,0.301430941,0.698569059,0.779343784,0.220656231
10660,Albert Lea, MN,1000,0,1000,0,1000,1000,0,0,0.817387521,0,0.60729897,0.715252042,0
10700,Albertville, AL,4000,0,3000,2000,2000,2000,1000,0,0.792317688,0.517861068,0.482138932,0.631420612,0.368579417
10740,Albuquerque, NM,32000,7000,25000,16000,15000,22000,9000,0.224306464,0.775693536,0.513355136,0.486644894,0.703414738,0.296585262
10780,Alexandria, LA,7000,0,7000,4000,3000,5000,3000,0,0.923695087,0.551015019,0.448984981,0.645706892,0.354293108
10820,Alexandria, MN,1000,0,1000,1000,1000,1000,0,0,0.951702774,0.431529343,0.568470657,0.822058201,0
10900,Allentown-Bethlehem-Easton, PA-NJ,25000,4000,21000,9000,16000,19000,6000,0.156904757,0.843095243,0.373643458,0.626356542,0.745252132,0.254747897
10940,Alma, MI,1000,0,1000,1000,500,1000,500,0,0.938243508,0.630535543,0.369464457,0.67672956,0.32327044
10980,Alpena, MI,1000,0,1000,500,500,500,0,0,0.980073094,0.543814421,0.456185579,0.731636643,0
11020,Altoona, PA,4000,0,4000,2000,2000,2000,2000,0,0.993865013,0.469511032,0.530488968,0.574761808,0.425238192
11100,Amarillo, TX,11000,3000,8000,5000,6000,7000,4000,0.259555638,0.740444362,0.48290813,0.51709187,0.658245683,0.341754317
11140,Americus, GA,1000,0,1000,1000,500,1000,500,0,0.934458256,0.658192098,0.341807902,0.624823451,0.375176549
11220,Amsterdam, NY,1000,0,1000,1000,1000,1000,0,0,0.943906486,0.48512888,0.51487112,0.616726995,0
11260,Anchorage, AK,17000,0,14000,5000,12000,14000,3000,0,0.869091094,0.296038508,0.703961492,0.827821434,0.172178566
11380,Andrews, TX,1000,0,500,500,500,500,500,0,0.674533665,0.408947468,0.591052532,0.496194541,0.503805459
11420,Angola, IN,1000,0,1000,1000,1000,1000,1000,0,0.961887181,0.518431246,0.481568754,0.520495236,0.479504764
11460,Ann Arbor, MI,11000,3000,9000,4000,7000,10000,0,0.2345801,0.7654199,0.357002318,0.642997682,0.87014842,0
11540,Appleton, WI,8000,0,7000,3000,6000,7000,0,0,0.895904362,0.310582101,0.689417899,0.812950313,0
11580,Arcadia, FL,1000,0,1000,1000,0,500,1000,0,0.718217552,0.764680505,0,0.404145062,0.595854938
11620,Ardmore, OK,2000,0,2000,1000,1000,1000,1000,0,0.902865469,0.538737416,0.461262554,0.553084612,0.446915358
11660,Arkadelphia, AR,1000,0,1000,500,500,500,0,0,0.890204728,0.645051837,0.354948133,0.588820338,0
11680,Arkansas City-Winfield, KS,1000,0,1000,1000,1000,1000,500,0,0.927583694,0.509053349,0.490946621,0.740496516,0.259503484
11700,Asheville, NC,12000,0,10000,6000,6000,9000,3000,0,0.850572348,0.484523416,0.515476584,0.752618015,0.247381985
11820,Astoria, OR,1000,0,1000,1000,1000,1000,0,0,0.869194865,0.510102987,0.489896983,0.655062675,0
11860,Atchison, KS,1000,0,1000,0,500,500,0,0,0.928280175,0,0.631517172,0.779239058,0
11940,Athens, TN,2000,0,2000,1000,0,1000,0,0,0.92893213,0.662736654,0,0.579135418,0
11980,Athens, TX,3000,0,2000,1000,1000,1000,1000,0,0.772560716,0.529331803,0.470668167,0.537938833,0.462061167
12020,Athens-Clarke County, GA,7000,0,5000,4000,3000,4000,2000,0,0.763102949,0.557206094,0.442793906,0.648163557,0.351836443
12060,Atlanta-Sandy Springs-Roswell, GA,214000,61000,149000,96000,116000,151000,62000,0.289212584,0.710787416,0.454089344,0.545910656,0.708545446,0.291454554
12100,Atlantic City-Hammonton, NJ,10000,3000,6000,5000,5000,6000,3000,0.313506246,0.686493754,0.531837702,0.468162268,0.660817027,0.339182973
12140,Auburn, IN,2000,0,2000,1000,1000,1000,1000,0,0.961887181,0.518431246,0.481568754,0.520495236,0.479504764
12180,Auburn, NY,2000,0,2000,1000,1000,2000,0,0,0.975689292,0.454518616,0.545481384,0.687445164,0
12260,Augusta-Richmond County, GA-SC,21000,0,19000,11000,10000,14000,7000,0,0.928999662,0.541630626,0.458369374,0.661505103,0.338494867
12380,Austin, MN,1000,0,1000,0,1000,1000,0,0,0.817387521,0,0.60729897,0.715252042,0
12420,Austin-Round Rock, TX,76000,24000,51000,27000,49000,56000,20000,0.32143259,0.67856741,0.352889359,0.647110641,0.735323668,0.264676303
12460,Bainbridge, GA,1000,0,1000,1000,500,1000,0,0,0.934167802,0.671665907,0.328334093,0.529816508,0
12540,Bakersfield, CA,42000,15000,26000,25000,17000,23000,19000,0.361409307,0.638590693,0.602268636,0.397731364,0.538303316,0.461696684
12580,Baltimore-Columbia-Towson, MD,97000,20000,76000,28000,68000,75000,22000,0.205628276,0.794371724,0.294216037,0.705783963,0.772852898,0.227147117
12660,Baraboo, WI,2000,0,2000,0,1000,2000,0,0,0.921714127,0,0.650195718,0.805781186,0
12700,Barnstable Town, MA,5000,0,4000,0,4000,4000,0,0,0.765381932,0,0.833985031,0.795497656,0
12740,Barre, VT,2000,0,2000,0,1000,1000,0,0,0.965266764,0,0.660898864,0.723156214,0
12780,Bartlesville, OK,2000,0,2000,1000,1000,1000,1000,0,0.965714276,0.559142768,0.440857232,0.613384962,0.386615038
12820,Bastrop, LA,1000,0,1000,1000,0,500,1000,0,0.964057386,0.756548047,0,0.417602658,0.582397342
12900,Batesville, AR,1000,0,1000,1000,0,1000,0,0,0.966710031,0.613681555,0,0.669402957,0
12940,Baton Rouge, LA,30000,0,27000,13000,17000,21000,9000,0,0.920378745,0.446239233,0.553760767,0.700828254,0.299171746
12980,Battle Creek, MI,5000,0,4000,2000,2000,3000,0,0,0.919372737,0.532258034,0.467741936,0.723980546,0
13020,Bay City, MI,3000,0,3000,1000,2000,2000,0,0,0.961925685,0.422327459,0.577672541,0.737338901,0
13060,Bay City, TX,2000,0,1000,1000,1000,1000,1000,0,0.709654272,0.519788504,0.480211467,0.508201361,0.491798609
13100,Beatrice, NE,1000,0,1000,500,500,1000,0,0,0.898858428,0.420856953,0.579143047,0.771290004,0
13140,Beaumont-Port Arthur, TX,16000,3000,12000,9000,7000,9000,7000,0.217392385,0.782607615,0.540455878,0.459544122,0.580373049,0.419626921
13180,Beaver Dam, WI,2000,0,2000,0,2000,2000,0,0,0.905884922,0,0.716846645,0.761123121,0
13220,Beckley, WV,4000,0,4000,2000,2000,3000,0,0,0.972651958,0.497747421,0.502252579,0.667857707,0
13260,Bedford, IN,2000,0,2000,1000,1000,1000,1000,0,0.959190667,0.521966875,0.478033125,0.547370195,0.452629805
13300,Beeville, TX,1000,0,1000,1000,1000,1000,1000,0,0.90532428,0.491327226,0.508672774,0.570438802,0.429561198
13340,Bellefontaine, OH,2000,0,1000,1000,1000,1000,1000,0,0.97309643,0.445666432,0.554333568,0.614533544,0.385466427
13380,Bellingham, WA,7000,0,6000,2000,4000,5000,0,0,0.828480363,0.352279305,0.647720695,0.762990773,0
13420,Bemidji, MN,2000,0,2000,1000,1000,1000,1000,0,0.980017364,0.435620487,0.564379513,0.706686258,0.293313712
13500,Bennettsville, SC,1000,0,1000,1000,500,1000,0,0,0.959472179,0.600588441,0.399411559,0.588793576,0
13540,Bennington, VT,1000,0,1000,0,1000,1000,0,0,0.95632112,0,0.623685837,0.669620991,0
13620,Berlin, NH-VT,1000,0,1000,500,1000,1000,0,0,0.852044463,0.415707111,0.584292889,0.735574067,0
13660,Big Rapids, MI,1000,0,1000,1000,1000,1000,500,0,0.966768742,0.535863042,0.464136958,0.705980539,0.294019431
13700,Big Spring, TX,1000,0,1000,1000,1000,1000,0,0,0.81499511,0.548739076,0.451260924,0.534449339,0
13720,Big Stone Gap, VA,2000,0,2000,1000,1000,1000,1000,0,0.977522492,0.582859039,0.41714099,0.634249449,0.365750521
13740,Billings, MT,6000,0,6000,3000,3000,5000,2000,0,0.951511919,0.455369532,0.544630468,0.711863995,0.288135976
13780,Binghamton, NY,7000,0,7000,3000,4000,5000,2000,0,0.894351482,0.472326279,0.527673721,0.725512266,0.274487704
13820,Birmingham-Hoover, AL,41000,4000,37000,19000,22000,29000,12000,0.08900106,0.91099894,0.466423512,0.533576488,0.715480447,0.284519523
13900,Bismarck, ND,5000,0,5000,1000,4000,4000,1000,0,0.980039299,0.234855592,0.765144408,0.87584585,0.12415415
13940,Blackfoot, ID,2000,0,2000,1000,1000,2000,500,0,0.875122726,0.563484073,0.436515898,0.831012368,0.168987602
14010,Bloomington, IL,7000,0,6000,2000,5000,5000,1000,0,0.876535118,0.319979072,0.680020928,0.805234373,0.194765627
14020,Bloomington, IN,4000,0,4000,2000,2000,3000,1000,0,0.85125953,0.511606455,0.488393545,0.719390035,0.280609965
14100,Bloomsburg-Berwick, PA,2000,0,2000,1000,1000,2000,1000,0,0.952946067,0.43160522,0.56839478,0.735571802,0.264428198
14140,Bluefield, WV-VA,3000,0,3000,2000,2000,2000,1000,0,0.974500358,0.530401826,0.469598204,0.654963374,0.345036626
