areaFIPS,areaname,areaname2,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
10100,Aberdeen, SD,Number of parents present,One parent,0.190702274,0,0.186672181,0.420515567,0.048346058,0.090932846,0
10100,Aberdeen, SD,Number of parents present,Two parents,0.80929774,0,0.813327789,0.579484403,0.951653957,0.909067154,0
10180,Abilene, TX,Number of parents present,One parent,0.278435409,0,0.283282727,0.374136358,0.1745722,0.205213591,0.458675951
10180,Abilene, TX,Number of parents present,Two parents,0.721564591,0,0.716717243,0.625863612,0.82542783,0.794786394,0.541324079
10220,Ada, OK,Number of parents present,One parent,0.336517662,0,0.343988061,0.426517695,0.169602662,0.223577574,0.530155361
10220,Ada, OK,Number of parents present,Two parents,0.663482368,0,0.656011939,0.573482275,0.830397308,0.776422441,0.469844639
10300,Adrian, MI,Number of parents present,One parent,0.227196306,0,0.231585786,0.32846716,0.107947305,0.120749921,0.435133457
10300,Adrian, MI,Number of parents present,Two parents,0.772803724,0,0.768414199,0.671532869,0.89205271,0.87925005,0.564866543
10420,Akron, OH,Number of parents present,One parent,0.305806756,0,0.32401222,0.568763018,0.10151042,0.187114552,0.619452178
10420,Akron, OH,Number of parents present,Two parents,0.694193244,0,0.67598778,0.431236953,0.898489594,0.812885463,0.380547851
10460,Alamogordo, NM,Number of parents present,One parent,0.3190898,0,0.355059654,0.42762208,0.146191105,0.192103058,0
10460,Alamogordo, NM,Number of parents present,Two parents,0.68091017,0,0.644940376,0.57237792,0.85380888,0.807896972,0
10500,Albany, GA,Number of parents present,One parent,0.450653195,0,0.476360768,0.587681592,0.181694731,0.385291964,0.622364759
10500,Albany, GA,Number of parents present,Two parents,0.549346805,0,0.523639262,0.412318408,0.818305254,0.614708066,0.377635241
10540,Albany, OR,Number of parents present,One parent,0.131827042,0,0.146961749,0.209687904,0.045889731,0.078447737,0
10540,Albany, OR,Number of parents present,Two parents,0.868172944,0,0.853038251,0.790312111,0.954110265,0.921552241,0
10580,Albany-Schenectady-Troy, NY,Number of parents present,One parent,0.205445558,0.068300478,0.227232054,0.414616525,0.120883338,0.111951917,0.544995487
10580,Albany-Schenectady-Troy, NY,Number of parents present,Two parents,0.794554472,0.931699514,0.772767961,0.585383475,0.879116654,0.888048053,0.455004483
10660,Albert Lea, MN,Number of parents present,One parent,0.178610563,0,0.196136296,0,0.101480678,0.112338856,0
10660,Albert Lea, MN,Number of parents present,Two parents,0.821389437,0,0.803863704,0,0.898519337,0.887661159,0
10700,Albertville, AL,Number of parents present,One parent,0.178892046,0,0.153462604,0.284807444,0.068117313,0.139551193,0.244314864
10700,Albertville, AL,Number of parents present,Two parents,0.821107924,0,0.846537411,0.715192556,0.931882679,0.860448778,0.755685151
10740,Albuquerque, NM,Number of parents present,One parent,0.263725251,0.17428188,0.289848179,0.364103496,0.158223793,0.194058836,0.433027238
10740,Albuquerque, NM,Number of parents present,Two parents,0.736274719,0.825718105,0.710151851,0.635896504,0.841776192,0.805941164,0.566972733
10780,Alexandria, LA,Number of parents present,One parent,0.289635718,0,0.310576409,0.408079267,0.141834706,0.166678533,0.519750655
10780,Alexandria, LA,Number of parents present,Two parents,0.710364282,0,0.689423621,0.591920733,0.858165264,0.833321452,0.480249316
10820,Alexandria, MN,Number of parents present,One parent,0.179360166,0,0.175450012,0.318050206,0.075730257,0.090269044,0
10820,Alexandria, MN,Number of parents present,Two parents,0.820639849,0,0.824549973,0.681949794,0.924269736,0.909730971,0
10900,Allentown-Bethlehem-Easton, PA-NJ,Number of parents present,One parent,0.237531692,0.144663632,0.255110353,0.43418014,0.116940945,0.136385575,0.542326331
10900,Allentown-Bethlehem-Easton, PA-NJ,Number of parents present,Two parents,0.762468278,0.855336368,0.744889677,0.56581986,0.883059025,0.86361444,0.457673669
10940,Alma, MI,Number of parents present,One parent,0.307770431,0,0.325392514,0.419727623,0.115870789,0.204043433,0.526440382
10940,Alma, MI,Number of parents present,Two parents,0.692229569,0,0.674607456,0.580272377,0.884129226,0.795956552,0.473559588
10980,Alpena, MI,Number of parents present,One parent,0.201183438,0,0.205474585,0.306796104,0.078313254,0.123300515,0
10980,Alpena, MI,Number of parents present,Two parents,0.798816562,0,0.794525445,0.693203866,0.921686769,0.876699507,0
11020,Altoona, PA,Number of parents present,One parent,0.249950126,0,0.251505435,0.349936157,0.158628479,0.11961057,0.425362647
11020,Altoona, PA,Number of parents present,Two parents,0.750049889,0,0.748494565,0.650063872,0.841371536,0.880389452,0.574637353
11100,Amarillo, TX,Number of parents present,One parent,0.255701005,0.086353257,0.317292899,0.396723628,0.119145289,0.187038437,0.386624455
11100,Amarillo, TX,Number of parents present,Two parents,0.744298995,0.913646758,0.682707071,0.603276372,0.880854726,0.812961578,0.613375545
11140,Americus, GA,Number of parents present,One parent,0.508095324,0,0.54095161,0.692652822,0.167270839,0.336060792,0.791807234
11140,Americus, GA,Number of parents present,Two parents,0.491904676,0,0.459048361,0.307347178,0.832729161,0.663939238,0.208192766
11220,Amsterdam, NY,Number of parents present,One parent,0.248986483,0,0.263968468,0.352523088,0.149156943,0.161699787,0
11220,Amsterdam, NY,Number of parents present,Two parents,0.751013517,0,0.736031532,0.647476912,0.850843072,0.838300228,0
11260,Anchorage, AK,Number of parents present,One parent,0.196746841,0,0.210635558,0.374339074,0.120276056,0.123947121,0.553014755
11260,Anchorage, AK,Number of parents present,Two parents,0.803253174,0,0.789364457,0.625660896,0.879723966,0.876052856,0.446985275
11380,Andrews, TX,Number of parents present,One parent,0.149420843,0,0.206303731,0.208837211,0.107260726,0.124448016,0.172554851
11380,Andrews, TX,Number of parents present,Two parents,0.850579143,0,0.793696284,0.791162789,0.892739296,0.875551999,0.827445149
11420,Angola, IN,Number of parents present,One parent,0.140268341,0,0.146044999,0.18824771,0.093673542,0.083895855,0.207001522
