areaFIPS,areaname,areaname2,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
10780,Alexandria, LA,Parental nativity,Only immigrant parents,0.050394218,0,0,0.055896994,0.044224653,0.047290802,0.056113072
10780,Alexandria, LA,Parental nativity,One immigrant and one native-born parent,0.02591072,0,0,0.016733496,0.037525874,0.030450549,0.017544925
10780,Alexandria, LA,Parental nativity,Only native-born parents,0.923695087,0,1,0.927369535,0.918249488,0.922258675,0.92634201
10780,Alexandria, LA,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10820,Alexandria, MN,Parental nativity,Only immigrant parents,0.040247679,0,0,0.092181467,0,0.030424943,0
10820,Alexandria, MN,Parental nativity,One immigrant and one native-born parent,0.008049536,0,0,0.007239401,0,0.007291913,0
10820,Alexandria, MN,Parental nativity,Only native-born parents,0.951702774,0,1,0.900579154,0.989902616,0.962283134,0
10820,Alexandria, MN,Parental nativity,At least one immigrant parent,0,0,0,0,0.010097384,0,0
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental nativity,Only immigrant parents,0.099285714,0.632776916,0,0.154242754,0.068180367,0.091483824,0.122314565
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental nativity,One immigrant and one native-born parent,0.057619046,0.367223054,0,0.070354454,0.043684043,0.071295753,0.017249465
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental nativity,Only native-born parents,0.843095243,0,1,0.775402784,0.888135612,0.83722043,0.860435963
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10940,Alma, MI,Parental nativity,Only immigrant parents,0.016957732,0,0,0,0,0.025009332,0
10940,Alma, MI,Parental nativity,One immigrant and one native-born parent,0.044798784,0,0,0,0,0.062709965,0
10940,Alma, MI,Parental nativity,Only native-born parents,0.938243508,0,1,0.92323482,0.959971905,0.912280679,0.992924511
10940,Alma, MI,Parental nativity,At least one immigrant parent,0,0,0,0.07676518,0.040028095,0,0.007075489
10980,Alpena, MI,Parental nativity,Only immigrant parents,0,0,0,0,0,0,0
10980,Alpena, MI,Parental nativity,One immigrant and one native-born parent,0.019926934,0,0,0,0.044576522,0.025663717,0
10980,Alpena, MI,Parental nativity,Only native-born parents,0.980073094,0,1,1,0.955423474,0.974336267,0
10980,Alpena, MI,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
11020,Altoona, PA,Parental nativity,Only immigrant parents,0,0,0,0,0,0,0
11020,Altoona, PA,Parental nativity,One immigrant and one native-born parent,0,0,0,0,0,0,0
11020,Altoona, PA,Parental nativity,Only native-born parents,0.993865013,0,1,0.99576807,0.992164195,0.989317715,1
11020,Altoona, PA,Parental nativity,At least one immigrant parent,0.006134987,0,0,0.00423193,0.007835805,0.010682285,0
11100,Amarillo, TX,Parental nativity,Only immigrant parents,0.175155446,0.674828112,0,0.230658278,0.12435893,0.074407488,0.371260494
11100,Amarillo, TX,Parental nativity,One immigrant and one native-born parent,0.084400199,0.325171888,0,0.080152161,0.088820778,0.095719047,0.062368155
11100,Amarillo, TX,Parental nativity,Only native-born parents,0.740444362,0,1,0.689189553,0.786820292,0.829873443,0.566371381
11100,Amarillo, TX,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
11140,Americus, GA,Parental nativity,Only immigrant parents,0.020426288,0,0,0.031089485,0,0,0
11140,Americus, GA,Parental nativity,One immigrant and one native-born parent,0.045115452,0,0,0.027575016,0,0,0
11140,Americus, GA,Parental nativity,Only native-born parents,0.934458256,0,1,0.941335499,0.921284318,0.936435878,0.931149125
11140,Americus, GA,Parental nativity,At least one immigrant parent,0,0,0,0,0.078715682,0.063564122,0.068850875
11220,Amsterdam, NY,Parental nativity,Only immigrant parents,0,0,0,0,0,0,0
11220,Amsterdam, NY,Parental nativity,One immigrant and one native-born parent,0,0,0,0,0,0,0
11220,Amsterdam, NY,Parental nativity,Only native-born parents,0.943906486,0,1,0.914744914,0.970379889,0.930827916,0
11220,Amsterdam, NY,Parental nativity,At least one immigrant parent,0.056093514,0,0,0.085255086,0.029620111,0.069172084,0
11260,Anchorage, AK,Parental nativity,Only immigrant parents,0.081863634,0,0,0.066047154,0.08870963,0.090251684,0.041671824
11260,Anchorage, AK,Parental nativity,One immigrant and one native-born parent,0.04904525,0,0,0.032392263,0.056146592,0.058603175,0.003247917
11260,Anchorage, AK,Parental nativity,Only native-born parents,0.869091094,0,1,0.901560605,0.855143785,0.851145148,0.955080271
11260,Anchorage, AK,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
11380,Andrews, TX,Parental nativity,Only immigrant parents,0.141987056,0,0,0.189599633,0.108406365,0.109626718,0.17238833
11380,Andrews, TX,Parental nativity,One immigrant and one native-born parent,0.183479249,0,0,0.150943398,0.206426486,0.110019647,0.252491683
11380,Andrews, TX,Parental nativity,Only native-born parents,0.674533665,0,1,0.659456968,0.685167134,0.780353606,0.575119972
11380,Andrews, TX,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
11420,Angola, IN,Parental nativity,Only immigrant parents,0.009402275,0,0,0.018306673,0,0.001285791,0.018277645
11420,Angola, IN,Parental nativity,One immigrant and one native-born parent,0.028710544,0,0,0.029094476,0.028661307,0.026679525,0.030931458
11420,Angola, IN,Parental nativity,Only native-born parents,0.961887181,0,1,0.95259887,0.971338689,0.972034693,0.950790882
11420,Angola, IN,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
11460,Ann Arbor, MI,Parental nativity,Only immigrant parents,0.149703294,0.638175547,0,0.126907423,0.16216968,0.164234325,0
11460,Ann Arbor, MI,Parental nativity,One immigrant and one native-born parent,0.08487682,0.361824453,0,0.065869786,0.095271207,0.086228162,0
11460,Ann Arbor, MI,Parental nativity,Only native-born parents,0.7654199,0,1,0.807222784,0.742559135,0.749537528,0
11460,Ann Arbor, MI,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
11540,Appleton, WI,Parental nativity,Only immigrant parents,0.054113992,0,0,0.090657867,0.031921245,0.046170488,0
11540,Appleton, WI,Parental nativity,One immigrant and one native-born parent,0.049981672,0,0,0.016502738,0.065487638,0.061533298,0
11540,Appleton, WI,Parental nativity,Only native-born parents,0.895904362,0,1,0.892839372,0.902591109,0.892296195,0
11540,Appleton, WI,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
11580,Arcadia, FL,Parental nativity,Only immigrant parents,0.186544344,0,0,0.238435179,0,0.084708475,0.253623188
11580,Arcadia, FL,Parental nativity,One immigrant and one native-born parent,0.095238097,0,0,0.109651625,0,0.05610561,0.121014491
11580,Arcadia, FL,Parental nativity,Only native-born parents,0.718217552,0,1,0.651913166,0,0.859185934,0.625362337
11580,Arcadia, FL,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
11620,Ardmore, OK,Parental nativity,Only immigrant parents,0.05293832,0,0,0.073679537,0,0.026233852,0.085072227
11620,Ardmore, OK,Parental nativity,One immigrant and one native-born parent,0.044196211,0,0,0.044385314,0,0.080924854,0
11620,Ardmore, OK,Parental nativity,Only native-born parents,0.902865469,0,1,0.881935179,0.928150117,0.89284128,0.914927781
11620,Ardmore, OK,Parental nativity,At least one immigrant parent,0,0,0,0,0.071849883,0,0
11660,Arkadelphia, AR,Parental nativity,Only immigrant parents,0.068446405,0,0,0.09629862,0,0.043243244,0
11660,Arkadelphia, AR,Parental nativity,One immigrant and one native-born parent,0.041348856,0,0,0.040150523,0,0.026351392,0
11660,Arkadelphia, AR,Parental nativity,Only native-born parents,0.890204728,0,1,0.863550842,0.937043309,0.930405378,0
11660,Arkadelphia, AR,Parental nativity,At least one immigrant parent,0,0,0,0,0.062956691,0,0
11680,Arkansas City-Winfield, KS,Parental nativity,Only immigrant parents,0.041071776,0,0,0.055896405,0,0.021551646,0.096705481
11680,Arkansas City-Winfield, KS,Parental nativity,One immigrant and one native-born parent,0.031344514,0,0,0.04617266,0,0.020713678,0.061643124
11680,Arkansas City-Winfield, KS,Parental nativity,Only native-born parents,0.927583694,0,1,0.89793092,0.968462586,0.957734704,0.84165138
11680,Arkansas City-Winfield, KS,Parental nativity,At least one immigrant parent,0,0,0,0,0.031537414,0,0
11700,Asheville, NC,Parental nativity,Only immigrant parents,0.098985061,0,0,0.154050484,0.043403123,0.035624094,0.29167828
11700,Asheville, NC,Parental nativity,One immigrant and one native-born parent,0.050442588,0,0,0.027249679,0.072452575,0.049738865,0.052582745
11700,Asheville, NC,Parental nativity,Only native-born parents,0.850572348,0,1,0.818699837,0.884144306,0.914637029,0.655739009
11700,Asheville, NC,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
11820,Astoria, OR,Parental nativity,Only immigrant parents,0.075238287,0,0,0.122687049,0.026993871,0.025719535,0
11820,Astoria, OR,Parental nativity,One immigrant and one native-born parent,0.055566821,0,0,0.077634752,0.033128835,0.072565831,0
11820,Astoria, OR,Parental nativity,Only native-born parents,0.869194865,0,1,0.799678206,0.939877272,0.901714623,0
11820,Astoria, OR,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
11860,Atchison, KS,Parental nativity,Only immigrant parents,0.007675707,0,0,0,0.005378425,0.004264414,0
11860,Atchison, KS,Parental nativity,One immigrant and one native-born parent,0.064044133,0,0,0,0.100268923,0.081328057,0
11860,Atchison, KS,Parental nativity,Only native-born parents,0.928280175,0,1,0,0.894352674,0.914407551,0
11860,Atchison, KS,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
